     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2011,       507,         0,    10.3,bplsd_r6_w7_c1_hx36,27861c81a6c17a4db1c226fc1b1bec399d6cfcd25b46e3ed8b9be1ec1735f765,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":8,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.006,""rounds"":6,""window"":7,""z_basis"":""True""}",
  15402279,       536,         0,  6396.4,bplsd_r6_w7_c1_hx36,95e7adbc221427cb98e2eb3940374df43afbf8f8094b525dd537878af3e63765,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":16,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.0006,""rounds"":6,""window"":7,""z_basis"":""True""}",
   2907200,       583,         0,  1197.9,bplsd_r6_w7_c1_hx36,5f6d35cd2a4846cc41f22d0d576df2d28d7ca492e9598b42ba4213332167af62,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":16,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.001,""rounds"":6,""window"":7,""z_basis"":""True""}",
    192869,       530,         0,   125.7,bplsd_r6_w7_c1_hx36,407cd7cd51ed1ea3eb5e7d4b6b17004014dd3e9325d4228a2479a2658bc54418,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":16,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.002,""rounds"":6,""window"":7,""z_basis"":""True""}",
     31629,       527,         0,    34.3,bplsd_r6_w7_c1_hx36,5762d9169284e8a7f58523ef162f61345ae37aa2b842a79911cce8625e39d132,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":16,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.003,""rounds"":6,""window"":7,""z_basis"":""True""}",
      9584,       501,         0,    17.3,bplsd_r6_w7_c1_hx36,89f302cb82354398dc2c1ff418808afc1fb10d985ad931135c79f4fa2d30e79a,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":16,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.004,""rounds"":6,""window"":7,""z_basis"":""True""}",
      4006,       525,         0,    12.7,bplsd_r6_w7_c1_hx36,411d84398b18cf8f229d30144af78ff76588d0cdd2ad1837fd9b6528bff12988,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":16,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.005,""rounds"":6,""window"":7,""z_basis"":""True""}",
      2216,       568,         0,    12.0,bplsd_r6_w7_c1_hx36,d765d3897ccca8307da1fd7b7f6debc80cc9ed47058896ff45a3ce8c0dee3f6e,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":16,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.006,""rounds"":6,""window"":7,""z_basis"":""True""}",
  16370947,       516,         0,  6824.9,bplsd_r6_w7_c1_hx36,4f52158f1bf7d5365222cd1433a837a78236e95eaeadc099cce89d16419cd2c1,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":32,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.0006,""rounds"":6,""window"":7,""z_basis"":""True""}",
   3120829,       543,         0,  1294.4,bplsd_r6_w7_c1_hx36,700af331726819897a359546cbb2afd80d0bbfd9479c012d2e4f35d9a065d43c,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":32,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.001,""rounds"":6,""window"":7,""z_basis"":""True""}",
    184222,       502,         0,   123.5,bplsd_r6_w7_c1_hx36,7a28cc56c139258dbfc3c42070701b1952a1fdb4fd4befa58f99c23acf10e5a2,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":32,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.002,""rounds"":6,""window"":7,""z_basis"":""True""}",
     37609,       560,         0,    42.9,bplsd_r6_w7_c1_hx36,98067f470d809b89e8d28d58c17bb7bfeeedb5b9a842d7a94cabc52e83e5ce5a,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":32,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.003,""rounds"":6,""window"":7,""z_basis"":""True""}",
